corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
plaquette_terms_flags [[ 1 -1 -1  1]]
QOC is saving this optimization run to ./out/00000_hamil_500_2_2_2.h5.
iter   |   total error  |    grads_l2   
=========================================
  0    | 9.52059582e-01 | 8.10284914e-02
  1    | 9.48841310e-01 | 6.23353773e-02
  2    | 9.46564527e-01 | 4.06373903e-02
  3    | 9.45328142e-01 | 1.77412699e-02
  4    | 9.45061877e-01 | 3.87512891e-03
  5    | 9.45462996e-01 | 2.15690363e-02
  6    | 9.46076294e-01 | 3.36750088e-02
  7    | 9.46523113e-01 | 4.00743436e-02
  8    | 9.46645344e-01 | 4.16267977e-02
  9    | 9.46467221e-01 | 3.93404492e-02
  10   | 9.46101059e-01 | 3.40672098e-02
  11   | 9.45680362e-01 | 2.65537111e-02
  12   | 9.45322016e-01 | 1.75569750e-02
  13   | 9.45103607e-01 | 7.90314993e-03
  14   | 9.45050588e-01 | 1.53913817e-03
  15   | 9.45135724e-01 | 9.93778444e-03
  16   | 9.45294036e-01 | 1.66370972e-02
  17   | 9.45449721e-01 | 2.12222758e-02
  18   | 9.45543493e-01 | 2.35423525e-02
  19   | 9.45548670e-01 | 2.36636558e-02
  20   | 9.45472406e-01 | 2.18077477e-02
  21   | 9.45346134e-01 | 1.83052077e-02
  22   | 9.45211448e-01 | 1.35704807e-02
  23   | 9.45106123e-01 | 8.08468336e-03
  24   | 9.45053386e-01 | 2.37116742e-03
  25   | 9.45056643e-01 | 3.05428803e-03
  26   | 9.45100900e-01 | 7.71380499e-03
  27   | 9.45160202e-01 | 1.12494340e-02
  28   | 9.45208059e-01 | 1.34352061e-02
  29   | 9.45226628e-01 | 1.41919401e-02
  30   | 9.45211401e-01 | 1.35754979e-02
  31   | 9.45170489e-01 | 1.17562847e-02
  32   | 9.45119770e-01 | 8.99643977e-03
  33   | 9.45076226e-01 | 5.62525410e-03
  34   | 9.45051880e-01 | 2.01071495e-03
  35   | 9.45050249e-01 | 1.48549910e-03
  36   | 9.45066255e-01 | 4.51430726e-03
  37   | 9.45089302e-01 | 6.81980122e-03
  38   | 9.45108023e-01 | 8.22884580e-03
  39   | 9.45114658e-01 | 8.67389161e-03
  40   | 9.45107419e-01 | 8.18966612e-03
  41   | 9.45090222e-01 | 6.90149686e-03
  42   | 9.45070286e-01 | 5.00711229e-03
  43   | 9.45054841e-01 | 2.75379692e-03
  44   | 9.45048293e-01 | 4.27226804e-04
  45   | 9.45050896e-01 | 1.78080904e-03
  46   | 9.45059266e-01 | 3.56460678e-03
  47   | 9.45068291e-01 | 4.79422692e-03
  48   | 9.45073487e-01 | 5.37794015e-03
  49   | 9.45072748e-01 | 5.30423579e-03
  50   | 9.45066843e-01 | 4.63623947e-03
